time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/std,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
2349,10151,23855104,91,-0.12434346228837967,-0.0002487053420736629,0.0066080876,0.07888031005859375,697,0.0027115154416605947,0.0003,-12.28390584141016,0.2,1.5069855451583862,0.4085485339164734,158.79,1.3805683709774166
2376,10148,24117248,92,-0.12453614920377731,3.893174607583205e-05,0.0076242886,0.08385038375854492,705,0.0017418622337572742,0.0003,-12.309901215136051,0.2,1.5145033597946167,0.45907002687454224,162.75,1.4314949215203523
2403,10143,24379392,93,-0.12412746995687485,-0.0005274686786833627,0.0058005806,0.07174968719482422,713,0.0013265172920000623,0.0003,-12.323334828019142,0.2,1.518095850944519,0.5100043416023254,167.26,1.5060292400419713
2429,10140,24641536,94,-0.12633584439754486,-0.0005842555874551181,0.0051447945,0.07421445846557617,721,0.0019091231597485603,0.0003,-12.331090167164803,0.2,1.5219773054122925,0.6143010854721069,147.73,1.2589484950900078
2456,10136,24903680,95,-0.12392671406269073,-0.0002161833901936916,0.006820312,0.08150291442871094,729,0.0023754008561809314,0.0003,-12.350631296634674,0.2,1.5302757024765015,0.4750940799713135,150.41,1.2901809461414815
2483,10134,25165824,96,-0.12544602155685425,-0.00027802422300737817,0.006123401,0.0782327651977539,737,0.0017755575863702688,0.0003,-12.36899808049202,0.2,1.5363163948059082,0.47880375385284424,164.01,1.4140583817660808
2510,10130,25427968,97,-0.12523992359638214,0.00021271760169838672,0.0063179806,0.08851099014282227,745,0.002242435388325248,0.0003,-12.389854721724987,0.2,1.542742371559143,0.4998696446418762,151.72,1.3382324863225221
2536,10128,25690112,98,-0.12524065375328064,0.00010335159731766907,0.005461106,0.07728433609008789,753,0.001319693756158813,0.0003,-12.403185687959194,0.2,1.5474867820739746,0.524595707654953,162.37,1.4049736934155226
2563,10124,25952256,99,-0.12594600021839142,-0.0001043480156113219,0.006902505,0.07582855224609375,761,0.0016762069481046638,0.0003,-12.411965541541576,0.2,1.552342176437378,0.48271387815475464,163.05,1.460191461071372
2589,10121,26214400,100,-0.12726211547851562,-0.0003121813169855159,0.005852303,0.07634496688842773,769,0.0018884727587646921,0.0003,-12.420305415987968,0.2,1.5569061040878296,0.4811263680458069,175.66,1.5609256802499294
2616,10119,26476544,101,-0.12569934129714966,-0.00025574468600098044,0.005837364,0.06747198104858398,777,0.0014615943055105163,0.0003,-12.42898328602314,0.2,1.5628025531768799,0.5295485854148865,165.78,1.4871919848024846
2643,10115,26738688,102,-0.1252908557653427,0.0001993491969187744,0.0066323327,0.08161354064941406,785,0.0016059728886830271,0.0003,-12.448430210351944,0.2,1.5706101655960083,0.5140469670295715,180.6,1.6542401444911956
