time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std
3830,168,11497,44040192,-15.377773769199848,122.16,0.2,0.15278291702270508,0.0138742365,-0.16665205359458923,-14.966653048992157,1324,0.12446251988876611,-0.019237361462728586,0.6511514782905579,0.0003,2.2622716426849365
3859,169,11479,44302336,-15.147950246930122,101.76,0.2,0.14530658721923828,0.01304841,-0.16697899997234344,-10.952685096263885,1332,0.10597725509433076,-0.0190817884677017,0.6591818034648895,0.0003,2.18220853805542
3888,170,11461,44564480,-14.914773933589458,123.89,0.2,0.1409449577331543,0.013083359,-0.16345824301242828,-12.333190336823463,1340,0.08741100539918989,-0.01851380528023583,0.6652987897396088,0.0003,2.1059207916259766
3917,171,11442,44826624,-14.687949016690254,120.35,0.2,0.13625335693359375,0.012715565,-0.16159585118293762,-10.779591026008129,1348,0.07333199691493064,-0.0178769538688357,0.6621103584766388,0.0003,2.032546043395996
3947,172,11423,45088768,-14.454494886100292,117.08,0.2,0.14112091064453125,0.012668619,-0.16375774145126343,-9.671778227090835,1356,0.05974242719821632,-0.018281251458574843,0.6683200001716614,0.0003,1.9612476825714111
3976,173,11403,45350912,-14.229634143412113,129.64,0.2,0.1385788917541504,0.013098286,-0.16025614738464355,-9.6558416056633,1364,0.04983859526691958,-0.016889747183086,0.6509355902671814,0.0003,1.8950024843215942
4006,174,11384,45613056,-13.99631105363369,129.5,0.2,0.13104820251464844,0.012771885,-0.15685711801052094,-8.95517959356308,1372,0.04250009244424291,-0.01698317625960044,0.6451009511947632,0.0003,1.8286945819854736
4036,175,11365,45875200,-13.769457682967186,112.83,0.2,0.12915706634521484,0.012365837,-0.15488077700138092,-6.8843888771533965,1380,0.036804901697905734,-0.015878129844168143,0.6447179913520813,0.0003,1.7668468952178955
4065,176,11348,46137344,-13.535261243581772,127.01,0.2,0.1278076171875,0.012792952,-0.15287911891937256,-7.2345414638519285,1388,0.03299873191281222,-0.015217018685689254,0.6488772332668304,0.0003,1.7062925100326538
4095,177,11330,46399488,-13.308507084846497,105.95,0.2,0.12891149520874023,0.012246885,-0.14897063374519348,-5.399945747852326,1396,0.031219264070387,-0.014791028215768165,0.6728027164936066,0.0003,1.6494580507278442
4123,178,11315,46661632,-13.075183399021626,109.6,0.2,0.1279163360595703,0.012346713,-0.1489020437002182,-5.173382478952408,1404,0.023876613791799173,-0.0147462189761427,0.6783409416675568,0.0003,1.5931097269058228
4152,179,11299,46923776,-12.843747921288013,107.62,0.2,0.12305593490600586,0.012547033,-0.14702729880809784,-4.543701661787927,1412,0.02244880136277061,-0.014696349466248648,0.6607922315597534,0.0003,1.539315938949585
4181,180,11285,47185920,-12.614268399775028,108.14,0.2,0.12284564971923828,0.012817398,-0.1442968100309372,-4.042617919445038,1420,0.019699721291544847,-0.014187527111062082,0.6724004447460175,0.0003,1.488296389579773
