time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/std,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
28573696,10060,2840,109,0.007894104,2.0014753341674805,-0.14241211116313934,0.2,-0.0003947265831811819,857,0.003754866205781582,-14.221032932400703,0.0003,0.3837752938270569,0.08329629898071289,1.0429627637565135,134.56
28835840,10057,2867,110,0.0071976976,2.0127921104431152,-0.142276793718338,0.2,-0.0005852084887010278,865,0.0047879851208563196,-14.255658186972141,0.0003,0.5143884718418121,0.07670783996582031,1.1599858595430852,146.27
29097984,10052,2894,111,0.006926776,2.025923490524292,-0.14539428055286407,0.2,-0.0009080521672331088,873,0.003663203393443837,-14.291085101664066,0.0003,0.5852746069431305,0.07503032684326172,1.2046518578380345,157.58
29360128,10049,2921,112,0.0075521134,2.0377390384674072,-0.14177082479000092,0.2,2.4741774723224808e-05,881,0.003495526887490996,-14.32340233772993,0.0003,0.5360107123851776,0.07959794998168945,1.2300825273245573,162.69
29622272,10045,2948,113,0.0071779694,2.045976161956787,-0.14239861071109772,0.2,-0.00013977620642435795,889,0.0036150753639958566,-14.350460901856422,0.0003,0.49004554748535156,0.0785212516784668,1.099496814161539,141.0
29884416,10042,2975,114,0.0072341072,2.062678813934326,-0.14552372694015503,0.2,-0.0001851230776992452,897,0.004088980367669137,-14.390398345887661,0.0003,0.4363495111465454,0.08446931838989258,1.0893204552680253,135.14
30146560,10038,3003,115,0.0060733985,2.0694119930267334,-0.14590150117874146,0.2,-0.0003248602674830181,905,0.003553504842784605,-14.411577545106411,0.0003,0.6270053386688232,0.07580280303955078,1.0971216402202844,142.07
30408704,10035,3030,116,0.006606915,2.079436779022217,-0.1465231478214264,0.2,-0.0008669608323543798,913,0.003423750125875813,-14.431870490312576,0.0003,0.49534040689468384,0.08290243148803711,1.0659075373411178,141.87
30670848,10031,3057,117,0.008860124,2.0899159908294678,-0.14333584904670715,0.2,-0.00027459487978376274,921,0.0030366317314474145,-14.456175655126572,0.0003,0.3970128893852234,0.07944393157958984,1.1460533490031957,150.14
30932992,10028,3084,118,0.0069041057,2.1026694774627686,-0.1445038765668869,0.2,-0.0003285501975369698,929,0.0036071320937480778,-14.488987565040588,0.0003,0.41926586627960205,0.07785844802856445,1.2573418121784925,164.02
31195136,10024,3111,119,0.007857289,2.1158881187438965,-0.14704042673110962,0.2,-0.00028362023886074894,937,0.004393778292069328,-14.521453358232975,0.0003,0.4322061538696289,0.08991050720214844,1.3021713804453612,160.57
31457280,10022,3138,120,0.0064706737,2.127013683319092,-0.1454964131116867,0.2,-1.5470800462935586e-06,945,0.003243237777496688,-14.549678340554237,0.0003,0.4487157464027405,0.07759857177734375,1.1884600512683392,146.61
31719424,10021,3165,121,0.006642396,2.1418063640594482,-0.14474035799503326,0.2,-0.00023722445894236444,953,0.004568325754007674,-14.584655731916428,0.0003,0.46299314498901367,0.09344959259033203,1.1709553308784961,153.13
31981568,10017,3192,122,0.0073664896,2.155970573425293,-0.14619754254817963,0.2,-0.00015228498341457453,961,0.0036929165089532034,-14.617779076099396,0.0003,0.48872941732406616,0.09049367904663086,1.056133530959487,140.0
32243712,10016,3219,123,0.014823226,2.168358564376831,-0.14550432562828064,0.2,0.0002753259916200385,966,0.004048442132063681,-14.647343478625334,0.0003,0.503531277179718,0.08273045020767406,1.1876916170865297,152.63
32505856,10013,3246,124,0.0074378382,2.1848361492156982,-0.14796356856822968,0.2,-5.684994039256708e-05,974,0.004279247656086227,-14.687408432364464,0.0003,0.4461800456047058,0.0929713249206543,1.1433556454628706,132.65
