rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range
127.06,13758,1.0244395597279072,35651584,68,2591,0.11938762664794922,-0.16330355405807495,0.584809273481369,2.630704879760742,536,0.0003,-0.000233766212431874,0.009972213,0.0392080493766116,-16.54729223996401,0.2
118.93,13747,0.8158180618286133,36175872,69,2631,0.10604000091552734,-0.16504870355129242,0.5949300527572632,2.6808769702911377,544,0.0003,-9.54016486502951e-05,0.009428593,0.03522033710760297,-16.680794596672058,0.2
132.28,13736,0.7616539636999369,36700160,70,2671,0.11081314086914062,-0.1659993678331375,0.5784300565719604,2.7277204990386963,552,0.0003,-0.00027547289641915995,0.009389753,0.030908250766515266,-16.80077937245369,0.2
133.58,13725,0.91132319111377,37224448,71,2711,0.10729026794433594,-0.16731853783130646,0.6105435192584991,2.772151470184326,560,0.0003,-0.00031018104505164956,0.009597927,0.03256711032008752,-16.909257970750332,0.2
144.57,13716,0.982042214050889,37748736,72,2752,0.11741995811462402,-0.1659231185913086,0.5925950109958649,2.822580575942993,568,0.0003,-0.000376806828626286,0.010891472,0.04379990125016775,-17.029785633087158,0.2
116.84,13707,0.8573832524567843,38273024,73,2792,0.11735200881958008,-0.16738486289978027,0.5674996078014374,2.86871075630188,576,0.0003,-0.0003316554159482621,0.011235416,0.03889289330254542,-17.14303957670927,0.2
114.48,13700,0.5567078403756023,38797312,74,2831,0.12074923515319824,-0.1697338968515396,0.5545090734958649,2.9150779247283936,584,0.0003,-0.00038741176558687584,0.011364998,0.043800494546303526,-17.25079984217882,0.2
130.23,13692,0.8697251550480724,39321600,75,2871,0.12028789520263672,-0.17129021883010864,0.6259241104125977,2.9733126163482666,592,0.0003,-0.00028887522523746156,0.010147231,0.04159116037772037,-17.380453512072563,0.2
123.7,13684,0.6906991137936711,39845888,76,2911,0.114654541015625,-0.17057353258132935,0.5801721811294556,3.0219435691833496,600,0.0003,-0.0005106375053856027,0.0104739,0.043068319937447086,-17.50042401254177,0.2
124.09,13676,0.9469210556522012,40370176,77,2951,0.11458182334899902,-0.1727287769317627,0.5502740442752838,3.082214117050171,608,0.0003,-0.00018021804521595186,0.009828014,0.03944279395363992,-17.623252391815186,0.2
122.31,13669,0.8562097201123834,40894464,78,2991,0.11858749389648438,-0.1753997653722763,0.5460719764232635,3.140873908996582,616,0.0003,-0.00039768075384927215,0.010059446,0.04030009729467565,-17.75956553965807,0.2
148.83,13663,1.0179124456271529,41418752,79,3031,0.1148838996887207,-0.17617027461528778,0.5310677587985992,3.1932172775268555,624,0.0003,-0.00011966440115429577,0.009670652,0.03815875134750968,-17.876772798597813,0.2
123.91,13657,0.8842344697192311,41943040,80,3071,0.11727190017700195,-0.1755129098892212,0.7148432731628418,3.248098850250244,632,0.0003,-0.0007915297630916029,0.010974612,0.04305215148633579,-17.987692140042782,0.2
132.03,13651,1.4907816473394633,42467328,81,3110,0.1079251766204834,-0.17804527282714844,0.6506434679031372,3.310581922531128,640,0.0003,-0.0011343387539000105,0.012729378,0.044393110743840225,-18.11318702250719,0.2
139.23,13651,0.65395946983248,42991616,82,3149,0.08170166015625,-0.17741478979587555,0.6111886501312256,3.330723762512207,642,0.0003,0.0011817244480230979,0.03525908,0.041533038233007705,-18.166457312447683,0.2
132.43,13646,0.9387259238958359,43515904,83,3188,0.12001657485961914,-0.18002237379550934,0.5385958254337311,3.3992159366607666,650,0.0003,-0.00013609951679427468,0.011291232,0.03845175418246072,-18.29456315934658,0.2
131.81,13641,0.8471268707513809,44040192,84,3228,0.12154507637023926,-0.18098272383213043,0.589570164680481,3.4535224437713623,658,0.0003,-0.00033452373054387863,0.010188254,0.04062754006736213,-18.40536282211542,0.2
129.38,13635,0.7547678266093135,44564480,85,3268,0.1294240951538086,-0.18133652210235596,0.5904261469841003,3.5229015350341797,666,0.0003,-0.00037142748124097125,0.0108525045,0.04964151875174139,-18.532112538814545,0.2
111.03,13629,0.9431435730680824,45088768,86,3308,0.11748933792114258,-0.18219560384750366,0.5957164466381073,3.5781474113464355,674,0.0003,-0.00031044228273913177,0.010561253,0.04952648490143474,-18.649438746273518,0.2
132.96,13623,0.8285114520788193,45613056,87,3348,0.11732316017150879,-0.18319948017597198,0.5963049530982971,3.6295504570007324,682,0.0003,-0.0008013347885480471,0.010745406,0.047456347092520446,-18.749085947871208,0.2
121.38,13616,0.7948242032527923,46137344,88,3388,0.10977768898010254,-0.1841869056224823,0.5873769223690033,3.698007106781006,690,0.0003,-0.0004679319304159435,0.010444127,0.05221429839730263,-18.86908020079136,0.2
107.18,13611,0.8669434006139636,46661632,89,3428,0.12244129180908203,-0.18328222632408142,0.5487752258777618,3.760416030883789,698,0.0003,-0.0003633422040820733,0.011009729,0.05258848312951159,-18.984832897782326,0.2
124.35,13606,0.7843989679869264,47185920,90,3467,0.11761188507080078,-0.18795453011989594,0.5699099898338318,3.8256537914276123,706,0.0003,-0.0004990743570942868,0.011010671,0.048695215285988525,-19.104642897844315,0.2
121.01,13602,0.7840951547399163,47710208,91,3507,0.1101694107055664,-0.1867309957742691,0.6174259185791016,3.889666795730591,714,0.0003,-0.00034573809170979075,0.009719731,0.04949352241237648,-19.2172938734293,0.2
137.66,13602,0.8353413749858737,48234496,92,3546,0.06758335658482142,-0.1873805820941925,0.6293690800666809,3.896153450012207,715,0.0003,0.0004488714455094721,0.015156341,0.0526337841791766,-19.253339494977677,0.2
120.31,13602,0.7606216122955084,48758784,93,3584,0.072998046875,-0.18713903427124023,0.5287025272846222,3.904729127883911,716,0.0003,0.0007506535427334408,0.010921832,0.050443640599648155,-19.267671426137287,0.2
120.44,13598,0.9557634112983941,49283072,94,3624,0.10774445533752441,-0.18949264287948608,0.5458473265171051,3.960813045501709,724,0.0003,-0.0005792146387193498,0.009295,0.05382009314780589,-19.35230877250433,0.2
122.23,13594,0.8823817698657512,49807360,95,3663,0.11663341522216797,-0.1910131424665451,0.595684289932251,4.028891563415527,732,0.0003,-0.0005913018708270101,0.010571029,0.058314899302786216,-19.453397944569588,0.2
124.21,13590,1.2073891220241786,50331648,96,3703,0.11524772644042969,-0.1919739693403244,0.6376177072525024,4.105123519897461,740,0.0003,-0.0005134704390457046,0.00996803,0.045090943611285184,-19.579314470291138,0.2
123.53,13587,1.1300486152619122,50855936,97,3742,0.10948095428809691,-0.194571390748024,0.6264170706272125,4.164628028869629,746,0.0003,-0.00042914243688377854,0.020912847,0.04807622935832216,-19.673737236623015,0.2
121.29,13587,0.7480398296564817,51380224,98,3781,0.07919150904605263,-0.18869885802268982,0.6703638136386871,4.174042701721191,747,0.0003,-0.000211305499665047,0.014426747,0.06386525595658704,-19.710125872963353,0.2
116.53,13587,0.6736881827563047,51904512,99,3820,0.08693214699074074,-0.19197414815425873,0.5303892195224762,4.193556785583496,748,0.0003,0.00046456885886275105,0.010209525,0.06027502773536576,-19.7360861742938,0.2
120.54,13583,0.8569517534226179,52428800,100,3859,0.11224246025085449,-0.1946047842502594,0.5644319355487823,4.255039215087891,756,0.0003,-0.00032792173624329735,0.0087954085,0.05083930214459542,-19.827120549976826,0.2
115.34,13578,0.8773723501036875,52953088,101,3899,0.11331582069396973,-0.19533924758434296,0.6621753871440887,4.327554702758789,764,0.0003,-0.00019684228391270153,0.009927463,0.06174133392050862,-19.935644403100014,0.2
137.74,13580,0.821179443821311,53477376,102,3937,0.07651654411764706,-0.19396139681339264,0.6298984289169312,4.333714485168457,765,0.0003,0.00036377580973374495,0.011347864,0.05312126699615927,-19.965254054350012,0.2
128.81,13577,1.048483227537945,54001664,103,3977,0.12807750701904297,-0.19573843479156494,0.5891851782798767,4.408254623413086,773,0.0003,-0.00046497645439558255,0.011006504,0.06390094089147169,-20.058780319988728,0.2
134.92,13575,0.973585587143898,54525952,104,4016,0.11406540870666504,-0.19778677821159363,0.6029614508152008,4.480674743652344,781,0.0003,-0.00024383456388932245,0.012029234,0.061845735704991966,-20.165691636502743,0.2
130.42,13572,0.832404364682734,55050240,105,4056,0.11884331703186035,-0.1994001865386963,0.5435475409030914,4.55313777923584,789,0.0003,-0.00048701903517667233,0.009574514,0.056335589179070666,-20.272592067718506,0.2
133.87,13569,0.6255456512421369,55574528,106,4095,0.1236574649810791,-0.2012309432029724,0.5943517684936523,4.622199058532715,797,0.0003,-0.00033459572523497627,0.009715572,0.04394309193594381,-20.37877744436264,0.2
