time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
19922944,10137,76,1965,-0.0005580955885307048,-0.12140257656574249,0.2,0.0066970447,1.3979305028915405,600,0.06522893905639648,0.0003,0.502528190612793,0.0014955989972804673,-11.987945519387722,136.49,1.0726018933951855
20185088,10129,77,1992,-0.0005025648938499216,-0.12124551832675934,0.2,0.005268308,1.4005054235458374,608,0.06115245819091797,0.0003,0.4104374051094055,0.002046117176178086,-11.993836738169193,123.58,1.0072457217425108
20447232,10126,78,2019,-0.0007432121642523271,-0.12161334604024887,0.2,0.006273316,1.401990294456482,616,0.06660890579223633,0.0003,0.5111027359962463,0.001501303156146605,-11.992988266050816,140.81,1.152927448898554
20709376,10118,79,2046,0.00025133918825304136,-0.11869798600673676,0.2,0.0060558748,1.4075912237167358,624,0.07154655456542969,0.0003,0.36928683519363403,0.0021014284839111497,-12.006440415978432,124.41,0.988088726401329
20971520,10111,80,2073,-0.0007903161072135845,-0.12242865562438965,0.2,0.005109066,1.4121568202972412,632,0.0644521713256836,0.0003,0.43575626611709595,0.0021257261896607815,-12.020663410425186,128.54,1.0329820361360909
21233664,10105,81,2101,4.1942255393223604e-05,-0.11877833306789398,0.2,0.006491504,1.4212911128997803,640,0.08161735534667969,0.0003,0.31743741035461426,0.0032388541931140935,-12.049053966999054,121.72,1.0481325332820415
21495808,10099,82,2128,-0.0005631150970657472,-0.12043571472167969,0.2,0.007769298,1.4268742799758911,648,0.07236528396606445,0.0003,0.44713759422302246,0.0018822425736289006,-12.071483224630356,123.78,1.0361501809209586
21757952,10094,83,2155,-0.0005921663528170029,-0.1199345514178276,0.2,0.0066190315,1.4312512874603271,656,0.07882976531982422,0.0003,0.44301849603652954,0.0018754847797026741,-12.085235968232155,121.45,0.9724457974731923
22020096,10086,84,2183,-0.00041644729617473786,-0.12169687449932098,0.2,0.0071284897,1.4348981380462646,664,0.0739588737487793,0.0003,0.4357490539550781,0.0020273914033168694,-12.09446806460619,121.57,0.9618060210347176
22282240,10082,85,2210,-0.0005108403861413535,-0.12221294641494751,0.2,0.005573079,1.4360568523406982,672,0.07317495346069336,0.0003,0.4853466749191284,0.0016640170506434515,-12.094904787838459,116.78,0.8908112397789956
22544384,10075,86,2237,-0.0004628758365470276,-0.12169801443815231,0.2,0.007178097,1.4404147863388062,680,0.07531261444091797,0.0003,0.43444764614105225,0.0020093472876396845,-12.100255951285362,142.88,1.2214658067375421
22806528,10071,87,2264,-0.0004798742756975116,-0.1227574422955513,0.2,0.006652546,1.4423596858978271,688,0.07996463775634766,0.0003,0.460162878036499,0.0018384198610874591,-12.102677643299103,129.58,1.0620008390396833
23068672,10065,88,2291,-0.00018046116520054056,-0.12194529175758362,0.2,0.006961489,1.4478332996368408,696,0.07888507843017578,0.0003,0.4733458161354065,0.0016986413720587734,-12.111518993973732,149.91,1.2669656402617693
23330816,10061,89,2318,-0.0005365983884075831,-0.12252584099769592,0.2,0.0067585986,1.4491705894470215,704,0.07667732238769531,0.0003,0.42483198642730713,0.002014821953707724,-12.113493345677853,126.93,1.0855761478841304
23592960,10055,90,2346,-0.001509946450823918,-0.12010004371404648,0.2,0.0070215394,1.4534209966659546,712,0.0718693733215332,0.0003,0.38003575801849365,0.001979789844881452,-12.119196847081184,140.01,1.1746168488264084
23855104,10051,91,2373,-0.0003616006229094637,-0.1224098950624466,0.2,0.0058922856,1.4588643312454224,720,0.06641292572021484,0.0003,0.4821772575378418,0.0016529995382370544,-12.13007714599371,141.01,1.2065181209146976
24117248,10047,92,2400,-2.6846977561945096e-05,-0.11993429809808731,0.2,0.007591567,1.4628645181655884,728,0.07318353652954102,0.0003,0.4455873370170593,0.0020253601232980145,-12.141118116676807,143.42,1.2505722882598638
24379392,10042,93,2427,-0.00039484431999881053,-0.12185143679380417,0.2,0.006829732,1.467872142791748,736,0.07854843139648438,0.0003,0.3865741491317749,0.002003640410293883,-12.15258640050888,154.43,1.303282445371151
24641536,10037,94,2454,-0.0001649330461077625,-0.12203363329172134,0.2,0.009732062,1.4702683687210083,744,0.07800102233886719,0.0003,0.4477613568305969,0.0023445646302207024,-12.160933576524258,139.46,1.2534746537357568
24903680,10033,95,2482,-0.00026885181478064624,-0.12320934236049652,0.2,0.0060480093,1.4720215797424316,752,0.07315397262573242,0.0003,0.5318698287010193,0.001906931574922055,-12.164848417043686,155.33,1.379504414498806
25165824,10029,96,2509,-0.0003186996677868592,-0.12163882702589035,0.2,0.007077013,1.4720879793167114,760,0.08062887191772461,0.0003,0.46236056089401245,0.001927679215441458,-12.158195063471794,141.11,1.2055505442619323
