time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
12922,1643,21233664,81,640,0.2,0.07093191146850586,1.7313838005065918,0.005648673584801145,1.0746270480751992,147.19,0.4033554792404175,-0.13361531496047974,0.0003,0.005820559,-13.433180063962936,-0.0004855422293985612
12913,1664,21495808,82,648,0.2,0.07419729232788086,1.7465929985046387,0.006428480937756831,0.9342522215098142,131.72,0.5466935634613037,-0.13592933118343353,0.0003,0.0068082707,-13.485498130321503,-0.00022076342065702192
12903,1686,21757952,83,656,0.2,0.08230781555175781,1.7610986232757568,0.0057084244217548985,1.0698398987948894,137.58,0.4314008355140686,-0.13465377688407898,0.0003,0.0063984166,-13.535488560795784,-0.00028305224941505003
12894,1707,22020096,84,664,0.2,0.07392597198486328,1.7704217433929443,0.004979869469025289,0.9483782857656479,135.33,0.3844531178474426,-0.13505597412586212,0.0003,0.006760427,-13.57317791134119,-0.000525782096246985
12886,1729,22282240,85,672,0.2,0.075408935546875,1.7816768884658813,0.0051226762607257115,1.0205622655153275,131.99,0.46272051334381104,-0.1362130492925644,0.0003,0.0072301794,-13.605456076562405,-0.0005999352133585489
12877,1750,22544384,86,680,0.2,0.07825851440429688,1.7919909954071045,0.004942010757076787,0.9498624610900879,129.71,0.39650529623031616,-0.1373140513896942,0.0003,0.006749924,-13.641962453722954,-0.0002787047787933261
12868,1772,22806528,87,688,0.2,0.07405328750610352,1.8062715530395508,0.005316927999956533,1.1219028873741628,142.04,0.35958558320999146,-0.13623690605163574,0.0003,0.006928015,-13.688368402421474,-0.0003890496655003517
12861,1793,23068672,88,696,0.2,0.0861825942993164,1.8190245628356934,0.00630703559727408,1.0736472216993571,135.11,0.6257015466690063,-0.1378198117017746,0.0003,0.008643918,-13.73249039053917,-0.0004037227126900689
12853,1815,23330816,89,704,0.2,0.07001209259033203,1.8289284706115723,0.004535216055955971,1.01485402174294,133.37,0.5795511305332184,-0.13963842391967773,0.0003,0.005935482,-13.772355481982231,-0.0006952704575269308
12846,1836,23592960,90,712,0.2,0.08740854263305664,1.843422532081604,0.005144572458448238,1.127984056547284,147.28,0.6153994500637054,-0.13927999138832092,0.0003,0.0068994733,-13.814258150756359,-0.00013225823522589053
12839,1857,23855104,91,720,0.2,0.07330989837646484,1.8529386520385742,0.004876831968431361,1.15464251562953,153.97,0.47873347997665405,-0.13839077949523926,0.0003,0.006586996,-13.850375570356846,-0.0006528117710331571
12833,1879,24117248,92,728,0.2,0.07476472854614258,1.86627995967865,0.005029059973821859,1.1643522267788649,145.7,0.5640186369419098,-0.1412809044122696,0.0003,0.006514426,-13.886944182217121,-0.0004864418447141361
12826,1900,24379392,93,736,0.2,0.08945465087890625,1.8769428730010986,0.004415392520968453,1.2042141505330801,156.66,0.5209309756755829,-0.1410396248102188,0.0003,0.0068945587,-13.919720821082592,-1.5936897398205474e-05
12820,1922,24641536,94,744,0.2,0.07442712783813477,1.8863850831985474,0.004262467849912355,1.002521221935749,134.86,0.410430371761322,-0.14066794514656067,0.0003,0.0064884233,-13.94772543758154,-0.00039372423407257884
12813,1943,24903680,95,752,0.2,0.08273696899414062,1.8979334831237793,0.005037462484324351,1.1201673574373125,152.38,0.37767505645751953,-0.14051496982574463,0.0003,0.0073547545,-13.979136116802692,-5.675831607732107e-05
12807,1964,25165824,96,760,0.2,0.06402397155761719,1.909916877746582,0.0033525329745316412,1.0885021830350161,147.75,0.3934144973754883,-0.14059247076511383,0.0003,0.005574529,-14.012502536177635,-0.00044443625756684924
12801,1986,25427968,97,768,0.2,0.07930469512939453,1.9281797409057617,0.004572331072267843,1.1368275310844183,141.32,0.44749200344085693,-0.14276430010795593,0.0003,0.006856812,-14.061104625463486,-0.0005992818219056062
12795,2007,25690112,98,776,0.2,0.07779598236083984,1.9404202699661255,0.0046025569918128895,1.1826556016504766,143.16,0.5598300397396088,-0.14165480434894562,0.0003,0.0072159152,-14.100424706935883,-6.972771552682389e-05
12789,2029,25952256,99,784,0.2,0.08879518508911133,1.9539772272109985,0.004952453315127059,1.2932859005779027,160.03,0.44803017377853394,-0.13901762664318085,0.0003,0.008622188,-14.141079105436802,-9.372398699269979e-05
12783,2050,26214400,100,792,0.2,0.07645320892333984,1.9640237092971802,0.005550352869249764,0.9842100040614605,133.93,0.6354025900363922,-0.139745831489563,0.0003,0.007290661,-14.172546684741974,-0.0001776006674845121
12777,2072,26476544,101,800,0.2,0.087860107421875,1.9797135591506958,0.005365962988435058,1.130268534347415,147.12,0.415427565574646,-0.14023755490779877,0.0003,0.00840116,-14.216542057693005,3.459408344497206e-05
12771,2093,26738688,102,808,0.2,0.08125686645507812,1.9936009645462036,0.005221089688348002,1.0620278721302747,134.57,0.5190592110157013,-0.14258450269699097,0.0003,0.006559859,-14.258125863969326,-0.0004189984319964424
12766,2115,27000832,103,816,0.2,0.07546615600585938,2.007765531539917,0.0047219872976711486,1.1399778273701668,154.72,0.49966758489608765,-0.14447791874408722,0.0003,0.0064171264,-14.29329326748848,-0.000597607108829834
12760,2136,27262976,104,824,0.2,0.09188985824584961,2.021206855773926,0.0051276951089676,1.1365948206186294,146.2,0.4662405848503113,-0.14433440566062927,0.0003,0.008197038,-14.327568113803864,2.151702210539952e-05
12754,2157,27525120,105,832,0.2,0.08137702941894531,2.0409200191497803,0.0058925244647980435,1.0937082882970572,139.88,0.5983520448207855,-0.1465456783771515,0.0003,0.008281064,-14.377085991203785,-0.0011774239565056632
12749,2179,27787264,106,840,0.2,0.07533502578735352,2.054597854614258,0.00487106132277404,1.035277598015964,136.95,0.5903753638267517,-0.1445079743862152,0.0003,0.0061288243,-14.422646194696426,-0.0004918277622891765
12744,2200,28049408,107,848,0.2,0.08840799331665039,2.0730557441711426,0.0053853858189540915,1.031079571545124,131.8,0.6899282932281494,-0.14518633484840393,0.0003,0.0068704905,-14.468983046710491,-0.00016870524268597364
12738,2222,28311552,108,856,0.2,0.07822561264038086,2.0875070095062256,0.004562146414173185,1.0177874075621367,139.42,0.5188965499401093,-0.1468319296836853,0.0003,0.0070197154,-14.512283198535442,-0.00038316779773595044
12732,2244,28573696,109,864,0.2,0.08272838592529297,2.0995984077453613,0.004850778175750747,0.9495160508900881,133.4,0.45954787731170654,-0.14597854018211365,0.0003,0.0063246833,-14.546359948813915,-0.00018911051392933587
12727,2265,28835840,110,872,0.2,0.08407878875732422,2.1131367683410645,0.004174235718892305,1.0280229245126247,121.48,0.5228737890720367,-0.14607465267181396,0.0003,0.007830853,-14.579879626631737,-4.5761938963551074e-05
12721,2287,29097984,111,880,0.2,0.09177350997924805,2.1260743141174316,0.005120817075294326,1.162627698034048,137.86,0.43437671661376953,-0.14744263887405396,0.0003,0.0075854296,-14.61630730330944,0.0001372928641103499
12716,2308,29360128,112,888,0.2,0.07983016967773438,2.142420530319214,0.004084790305569186,0.9741093546152115,125.76,0.4214838743209839,-0.14817798137664795,0.0003,0.0058840113,-14.655535563826561,-0.00029422351326502394
12711,2330,29622272,113,896,0.2,0.0922856330871582,2.1664140224456787,0.00562349370920856,1.0436410339176654,135.63,0.5099574327468872,-0.14743319153785706,0.0003,0.0076921503,-14.713492006063461,-0.00035682924590219045
12706,2351,29884416,114,904,0.2,0.08338785171508789,2.178339958190918,0.005085643619167968,1.0502250968664884,135.21,0.5140959918498993,-0.14965015649795532,0.0003,0.006719729,-14.75541353225708,-0.0005920729763602139
12701,2373,30146560,115,912,0.2,0.08193111419677734,2.1948866844177246,0.005946686775132548,0.8767218177765608,117.05,0.48143815994262695,-0.14653335511684418,0.0003,0.009504142,-14.797207057476044,-6.194938760017976e-05
12697,2394,30408704,116,920,0.2,0.10241031646728516,2.210280179977417,0.00576481983443955,1.002242989614606,128.13,0.5938498973846436,-0.14876021444797516,0.0003,0.007823046,-14.840702064335346,0.00018194506674262811
12692,2416,30670848,117,928,0.2,0.08624458312988281,2.2266476154327393,0.004234028328937711,1.067353615835309,130.62,0.5054182410240173,-0.15005676448345184,0.0003,0.006525427,-14.88712714612484,-0.00023117133332561934
12688,2437,30932992,118,936,0.2,0.08600425720214844,2.2548699378967285,0.005424360237157089,0.9272535741329193,123.85,0.7251580059528351,-0.15224827826023102,0.0003,0.008841124,-14.95018731802702,-0.0015184276353465975
12685,2459,31195136,119,944,0.2,0.0856175422668457,2.274411201477051,0.006534978296258487,1.0749565852433443,140.11,0.519853264093399,-0.15169572830200195,0.0003,0.008474507,-15.01257611811161,-0.0009341842242065468
12681,2480,31457280,120,952,0.2,0.09212303161621094,2.288820743560791,0.005119207102325163,1.16589819252491,137.24,0.5664074718952179,-0.15049073100090027,0.0003,0.008344779,-15.053691893815994,-0.00016903469168028096
12678,2501,31719424,121,960,0.2,0.09795188903808594,2.3069775104522705,0.005889783191378228,1.170580950602889,153.19,0.6343560516834259,-0.15243490040302277,0.0003,0.009795453,-15.097795568406582,-0.00019906120223822654
12674,2523,31981568,122,968,0.2,0.0852813720703125,2.3111324310302734,0.004261389351086109,1.098772355094552,145.11,0.5098088383674622,-0.15156759321689606,0.0003,0.007129616,-15.117548897862434,-0.0005652486343024066
12671,2544,32243712,123,976,0.2,0.08576679229736328,2.326385259628296,0.00532029570058512,1.0155504705756904,131.55,0.6123850345611572,-0.15355423092842102,0.0003,0.006956565,-15.145135797560215,-0.0005047129607191891
12668,2565,32505856,124,984,0.2,0.08822059631347656,2.34502911567688,0.0057673923547554296,1.1837678838521242,143.56,0.4895859956741333,-0.1527792066335678,0.0003,0.008311933,-15.191339254379272,-0.0003347302729252988
