time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
2441,10094,94,24641536,0.5300257503986359,744,-0.11906715482473373,-11.881334736943245,1.430743932723999,0.2,0.06753396987915039,0.0003,0.0014367254179887823,-0.00017572473689142498,0.005766497,1.2178756894171239,139.5
2469,10086,95,24903680,0.4981609582901001,752,-0.11851777881383896,-11.877580367028713,1.4335261583328247,0.2,0.08273458480834961,0.0003,0.0016100679349619895,0.00019006101365448558,0.0062299045,1.4713462162017823,164.55
2495,10083,96,25165824,0.4981626272201538,760,-0.11725008487701416,-11.88510336726904,1.4376158714294434,0.2,0.07550334930419922,0.0003,0.0017072773462132318,-0.00017055825355782872,0.007185217,1.2721238680183888,142.94
2522,10079,97,25427968,0.420915424823761,768,-0.11621634662151337,-11.893035247921944,1.4409821033477783,0.2,0.09707498550415039,0.0003,0.001719226929708384,0.002692394465157122,0.007729399,1.4399358484148979,163.05
2550,10073,98,25690112,0.5368378460407257,776,-0.11831065267324448,-11.8966845870018,1.444046139717102,0.2,0.0808095932006836,0.0003,0.0016380514280172065,0.00016548547455386142,0.0069884327,1.4987953467667103,166.5
2577,10068,99,25952256,0.5533789098262787,784,-0.11812207102775574,-11.89581885933876,1.4456093311309814,0.2,0.072509765625,0.0003,0.001535450993287668,0.00022085736509325216,0.005726527,1.5601578564196825,165.24
2604,10066,100,26214400,0.3257945775985718,792,-0.11895658075809479,-11.90528717637062,1.4516595602035522,0.2,0.08704662322998047,0.0003,0.0017936148415174102,-0.000252771158102405,0.010368126,1.6062794527038933,167.04
2631,10062,101,26476544,0.5397177934646606,800,-0.1161937415599823,-11.912471607327461,1.4552425146102905,0.2,0.09415197372436523,0.0003,0.0015346090985985938,0.0020263862838874047,0.008607598,1.6264350510388612,168.38
2658,10058,102,26738688,0.546272873878479,808,-0.12004059553146362,-11.917280904948711,1.4576040506362915,0.2,0.08307218551635742,0.0003,0.0016065536456153495,0.0005207666795286059,0.0068413876,1.504047546684742,159.05
2685,10053,103,27000832,0.5863592326641083,816,-0.12033810466527939,-11.909182369709015,1.4563721418380737,0.2,0.08437967300415039,0.0003,0.0014240203536246554,0.0005245421039035136,0.0073253755,1.5315442499518395,163.24
2712,10050,104,27262976,0.5070356726646423,824,-0.11986470222473145,-11.899548918008804,1.4579514265060425,0.2,0.08649969100952148,0.0003,0.0013851036810592632,0.000983214427378698,0.007134213,1.4401189076900482,158.27
2739,10046,105,27525120,0.5880776345729828,832,-0.11754924803972244,-11.884190864861012,1.457152009010315,0.2,0.08141565322875977,0.0003,0.0013872235749659012,-0.00011262897533015348,0.00713047,1.511129389256239,164.26
2767,10041,106,27787264,0.5970353484153748,840,-0.11895747482776642,-11.878026835620403,1.4593688249588013,0.2,0.09823179244995117,0.0003,0.001430867307135486,0.001103484986742842,0.009461585,1.6523861536383628,174.47
2794,10036,107,28049408,0.5042850375175476,848,-0.11689918488264084,-11.87722759693861,1.4618569612503052,0.2,0.09475564956665039,0.0003,0.003092628609010717,0.0007499597077185172,0.007660671,1.675307804197073,165.8
2822,10032,108,28311552,0.3509315848350525,856,-0.12043831497430801,-11.883918285369873,1.465199589729309,0.2,0.10680246353149414,0.0003,0.0026825867371371714,-8.747819083509967e-05,0.008401986,1.6981935055926443,175.29
2848,10029,109,28573696,0.6098372638225555,864,-0.12021031230688095,-11.879154495894909,1.4649180173873901,0.2,0.08872079849243164,0.0003,0.0014419495528272819,0.0005112598414598324,0.007596838,1.730737148374319,175.23
2876,10024,110,28835840,0.5654477477073669,872,-0.11523664742708206,-11.875683680176735,1.4670922756195068,0.2,0.11007261276245117,0.0003,0.0016320601534971502,0.0017015738485497423,0.008673243,1.756727124452591,179.03
2903,10021,111,29097984,0.6421087980270386,880,-0.12006755918264389,-11.873881921172142,1.4701859951019287,0.2,0.0984339714050293,0.0003,0.001139607361437811,0.0010447646463944693,0.007220289,2.0181268158555032,200.74
2931,10013,112,29360128,0.6050059199333191,888,-0.11911198496818542,-11.877296790480614,1.473861575126648,0.2,0.09304285049438477,0.0003,0.0014212286532711005,0.0006964106387385982,0.010078836,2.024082466214895,193.45
2959,10010,113,29622272,0.5652344822883606,896,-0.11638911813497543,-11.879186376929283,1.4766448736190796,0.2,0.08825206756591797,0.0003,0.0015791650366736576,0.00040631096408105805,0.0069562574,1.6970498441532254,171.0
2986,10007,114,29884416,0.6126000285148621,904,-0.1124320775270462,-11.883349262177944,1.4810459613800049,0.2,0.11218738555908203,0.0003,0.0014096249487920431,0.0011550349736353382,0.009606204,1.7923902824521065,174.71
3013,10002,115,30146560,0.609649270772934,911,-0.10592758655548096,-11.888641413520364,1.4849666357040405,0.2,0.09955372529871323,0.0003,0.001460813327153743,0.0008668198978400551,0.016577302,1.6498064363747835,165.18
3041,9996,116,30408704,0.6421117186546326,919,-0.1189887672662735,-11.885830886662006,1.4857884645462036,0.2,0.0915975570678711,0.0003,0.0011989962649749941,0.0005792424448145539,0.0073285024,1.5869541921839119,161.29
3069,9992,117,30670848,0.6167277991771698,927,-0.12052808701992035,-11.890574365854263,1.4901243448257446,0.2,0.08945417404174805,0.0003,0.001375188362544577,0.0006662286282335117,0.00795194,1.754302743896842,173.34
3096,9988,118,30932992,0.5671009719371796,935,-0.11959023773670197,-11.892224572598934,1.49252188205719,0.2,0.10773372650146484,0.0003,0.0015740570188427228,0.0009366305475850822,0.00952352,1.7716703229397535,175.38
3124,9984,119,31195136,0.6355897784233093,943,-0.11659760028123856,-11.875308327376842,1.4902491569519043,0.2,0.0830841064453125,0.0003,0.0012502945255619125,0.00041926835058347933,0.008742344,1.793856136649847,178.95
3152,9979,120,31457280,0.6524703800678253,951,-0.11848761141300201,-11.866065040230751,1.4920573234558105,0.2,0.08862876892089844,0.0003,0.0011741168364096666,0.0007412849099637242,0.00792611,1.729806095212698,173.62
3179,9974,121,31719424,0.6456972062587738,959,-0.11699820309877396,-11.851302616298199,1.4914634227752686,0.2,0.09517812728881836,0.0003,0.0011844506925626774,0.0010907318701356417,0.009087181,1.8066892831027508,185.3
3207,9971,122,31981568,0.6280743479728699,967,-0.11851918697357178,-11.838391669094563,1.49074125289917,0.2,0.09040307998657227,0.0003,0.001300470979003876,0.00024536909677408403,0.0074917013,1.7301583889126777,170.61
3235,9966,123,32243712,0.6125240921974182,975,-0.11671662330627441,-11.841949291527271,1.4955488443374634,0.2,0.09093952178955078,0.0003,0.0013942464902356733,0.0007447837483596231,0.0059110494,1.9153733491897582,190.22
3262,9963,124,32505856,0.6206195056438446,983,-0.11680561304092407,-11.842703312635422,1.4977796077728271,0.2,0.0871891975402832,0.0003,0.001310174525315233,0.0005240833088464569,0.008567118,1.6196872788667678,163.51
